rho_label,label,rho_numeric,mean_weighted_sum_rate,std_weighted_sum_rate,mean_runtime_sec,std_runtime_sec,mean_signaling_messages,std_signaling_messages,mean_iterations,std_iterations,mean_gap_to_full_neighborhood,std_gap_to_full_neighborhood,mean_gap_to_bd_dual,std_gap_to_bd_dual
non-coop,non-cooperative,0.0,9.82316500355807,1.0097778159183446,0.09941010409966111,0.01817773056255285,0.0,0.0,40.0,0.0,28.767304989375432,2.6656479117032714,48.95660301632765,3.4944720908507936
rho=1,localized-rho1,1.0,32.60625305674516,1.5005717692671023,0.10410014551598579,0.0031319897277559587,4800.0,0.0,40.0,0.0,5.984216936188341,2.0669484105554594,26.17351496314055,5.171873442062689
rho=2,localized-rho2,2.0,38.59046999293351,1.8837474936526046,0.11189585458487272,0.0013987338990434778,8400.0,0.0,40.0,0.0,0.0,0.0,20.18929802695221,4.4984747826379
rho=3,localized-rho3,3.0,38.59046999293351,1.8837474936526046,0.11182757245842367,0.0019048979683088795,8400.0,0.0,40.0,0.0,0.0,0.0,20.18929802695221,4.4984747826379
global,full-neighborhood,-1.0,38.59046999293351,1.8837474936526046,0.1207037081476301,0.015329868296996346,8400.0,0.0,40.0,0.0,0.0,0.0,20.18929802695221,4.4984747826379
bd-dual,global-bd-dual,-1.0,58.77976801988571,4.057878242847378,0.011588812805712223,0.005268845114659317,143514.0,0.0,201.0,0.0,-20.18929802695221,4.4984747826379,0.0,0.0
