label,num_bs,mean_runtime_sec,std_runtime_sec,mean_iterations,std_iterations
global,7,0.021998944071431954,0.0036770559603555466,33.333333333333336,5.734883511361751
global,19,0.110948514038076,0.0007987996225642973,40.0,0.0
global,37,0.3684159858773152,0.043756492655223904,40.0,0.0
localized-rho1,7,0.008710111025720835,0.0038823320161370566,15.0,7.0710678118654755
localized-rho1,19,0.033540680538862944,0.000867626893411496,20.0,0.0
localized-rho1,37,0.07660351398711403,0.005685957687997397,20.0,0.0
