trial,alpha,rho,num_bs,weighted_sum_rate,gap_to_global
0,3.0,1.0,37,61.080928141662376,14.532776994479654
0,3.0,2.0,37,70.96374381579783,4.649961320344204
0,3.0,3.0,37,73.22024511176646,2.393460024375571
0,3.0,4.0,37,74.29873858639672,1.3149665497453071
0,3.0,5.0,37,75.00929752198591,0.6044076141561163
1,3.0,1.0,37,65.07692576512052,12.642657650645305
1,3.0,2.0,37,74.2286112128844,3.490972202881423
1,3.0,3.0,37,76.42096200199076,1.2986214137750665
1,3.0,4.0,37,77.17297423765419,0.5466091781116376
1,3.0,5.0,37,77.62749643313968,0.09208698262614234
2,3.0,1.0,37,59.797148311424934,16.942729192109056
2,3.0,2.0,37,72.16737508919755,4.572502414336441
2,3.0,3.0,37,75.305364433382,1.4345130701519935
2,3.0,4.0,37,76.1087313098141,0.6311461937198857
2,3.0,5.0,37,76.53545534963204,0.20442215390194463
3,3.0,1.0,37,58.87515779957622,15.744232229887551
3,3.0,2.0,37,69.23834830845362,5.381041721010149
3,3.0,3.0,37,72.19420290674735,2.425187122716423
3,3.0,4.0,37,73.71105248923851,0.9083375402252614
3,3.0,5.0,37,74.44225573142845,0.17713429803532676
0,3.6,1.0,37,78.92943538749839,21.19730138558984
0,3.6,2.0,37,96.3874160450688,3.739320728019422
0,3.6,3.0,37,98.91861246674635,1.2081243063418725
0,3.6,4.0,37,99.80169724710517,0.3250395259830583
0,3.6,5.0,37,100.02324708312483,0.10348968996339636
1,3.6,1.0,37,79.07398163494518,18.551900386615145
1,3.6,2.0,37,92.72058549796964,4.9052965235906925
1,3.6,3.0,37,96.22538488450856,1.4004971370517723
1,3.6,4.0,37,97.20046444730733,0.42541757425300375
1,3.6,5.0,37,97.49774168417979,0.1281403373805432
2,3.6,1.0,37,76.43811904567114,18.678377325401883
2,3.6,2.0,37,89.15739525107367,5.95910111999936
2,3.6,3.0,37,93.120830564456,1.9956658066170263
2,3.6,4.0,37,94.40920729256872,0.7072890785043029
2,3.6,5.0,37,94.89852767904551,0.21796869202751168
3,3.6,1.0,37,75.98300307406814,15.928038274629245
3,3.6,2.0,37,87.44891009757136,4.462131251126024
3,3.6,3.0,37,90.61705644145478,1.2939849072426028
3,3.6,4.0,37,91.5145025038108,0.3965388448865781
3,3.6,5.0,37,91.81630167163878,0.0947396770585982
0,4.2,1.0,37,98.10178318627462,16.70577888835355
0,4.2,2.0,37,109.8405650187352,4.966997055892961
0,4.2,3.0,37,113.99218842683415,0.8153736477940186
0,4.2,4.0,37,114.43978981693793,0.36777225769023403
0,4.2,5.0,37,114.7078305611585,0.09973151346966347
1,4.2,1.0,37,93.70367968828207,20.310762485261108
1,4.2,2.0,37,108.76382098508827,5.2506211884549
1,4.2,3.0,37,113.13563054664063,0.8788116269025465
1,4.2,4.0,37,113.68959144806523,0.324850725477944
1,4.2,5.0,37,113.9308157905955,0.08362638294767066
2,4.2,1.0,37,90.62717125464037,20.06131124143549
2,4.2,2.0,37,106.07916379897405,4.609318697101813
2,4.2,3.0,37,109.37620669891753,1.3122757971583354
2,4.2,4.0,37,110.2922214014699,0.39626109460596126
2,4.2,5.0,37,110.53652374704123,0.1519587490346339
3,4.2,1.0,37,93.23834630595039,17.99729833772618
3,4.2,2.0,37,107.36552855640635,3.870116087270219
3,4.2,3.0,37,110.16827057711431,1.0673740665622518
3,4.2,4.0,37,110.97557568794794,0.2600689557286273
3,4.2,5.0,37,111.14546010570778,0.09018453796878134
