label,rho_label,iteration,objective,relative_change
global,global,1,19.599681343730985,0.569979145523172
global,global,2,22.3965418559862,0.26470845007974425
global,global,3,24.558514786732108,0.22061693420148962
global,global,4,26.03207864084547,0.17017253243237673
global,global,5,26.658290387619196,0.11404037422408556
global,global,6,26.866424421331892,0.05996193458978008
global,global,7,26.955868224700563,0.032388778565243616
global,global,8,27.015415784664572,0.02184189294464334
global,global,9,27.066801423033144,0.017829818959518972
global,global,10,27.11406881318128,0.016053600807355375
global,global,11,27.15820443179986,0.015154952239841833
global,global,12,27.199797692814283,0.014667984618914453
global,global,13,27.239274407415504,0.014387705191607505
global,global,14,27.27689690782052,0.014213287299349408
global,global,15,27.297039886709378,0.011826613682838702
global,global,16,27.30272856253564,0.010484408814345252
global,global,17,27.30676233007709,0.009680242127496087
global,global,18,27.308998575689674,0.009181740848744607
global,global,19,27.309551418288137,0.008904322402681006
global,global,20,27.308605963437053,0.00882847643341238
global,global,21,27.306176073213845,0.008924471810481005
global,global,22,27.30040954583902,0.009093891403240927
global,global,23,27.293006724082034,0.009562792136308776
global,global,24,27.28402196398607,0.010194591082166863
global,global,25,27.273433053442076,0.010977375285316305
global,global,26,27.261162341212124,0.011903412129989362
global,global,27,27.247094649184724,0.012971283596237287
global,global,28,27.23110079336407,0.014183420111025642
global,global,29,27.2130737567886,0.015542377695877524
global,global,30,27.19298573296525,0.017046429788068976
global,global,31,27.170972119886365,0.018683827297629227
global,global,32,27.147434846635136,0.020424154477763235
global,global,33,27.11845381772205,0.021866897854667652
global,global,34,27.08849991597161,0.02323490886466079
global,global,35,27.060739112646864,0.024523497206941105
global,global,36,27.035556628661574,0.0258638934271149
global,global,37,27.01290767680382,0.027435238607553487
global,global,38,26.992886936461975,0.029460493272016795
global,global,39,26.97608410511988,0.03158957793699641
global,global,40,26.962637286644764,0.03261851651651488
non-cooperative,non-coop,1,11.532074689638119,0.5768472527286378
non-cooperative,non-coop,2,11.140957719485066,0.11571513688139953
non-cooperative,non-coop,3,11.22749479116816,0.06203833268669705
non-cooperative,non-coop,4,11.070648748544707,0.029512234108883043
non-cooperative,non-coop,5,11.141055769982191,0.017618575466905123
non-cooperative,non-coop,6,11.101246716216162,0.004980957895720555
non-cooperative,non-coop,7,11.121444107851765,0.005497486122998578
non-cooperative,non-coop,8,11.1163180546435,0.0027536975016275106
non-cooperative,non-coop,9,11.1221916580796,0.003532529164659708
non-cooperative,non-coop,10,11.124097568052706,0.0031852141016558574
non-cooperative,non-coop,11,11.127670117941687,0.00330023084301605
non-cooperative,non-coop,12,11.130830960042239,0.003251437146799779
non-cooperative,non-coop,13,11.134318324476355,0.0032660689219965915
non-cooperative,non-coop,14,11.137872998067959,0.003258090252204652
non-cooperative,non-coop,15,11.141585597453647,0.0032590250082223573
non-cooperative,non-coop,16,11.145426890489688,0.0032575748082947706
non-cooperative,non-coop,17,11.149407839167981,0.0032576127442321768
non-cooperative,non-coop,18,11.153526370125393,0.0032578626552968847
non-cooperative,non-coop,19,11.157784456161805,0.003258721784039722
non-cooperative,non-coop,20,11.16218283483609,0.003260069819188007
non-cooperative,non-coop,21,11.16672256773082,0.003261939484875544
non-cooperative,non-coop,22,11.171404598761494,0.00326432122881456
non-cooperative,non-coop,23,11.176229874316228,0.003267217166088746
non-cooperative,non-coop,24,11.181199308762414,0.0032706269215929296
non-cooperative,non-coop,25,11.18631379315189,0.0032745511588307447
non-cooperative,non-coop,26,11.191574192183804,0.0032789906510864377
non-cooperative,non-coop,27,11.196981343411428,0.003283946532304755
non-cooperative,non-coop,28,11.20253605756221,0.0032894202340082983
non-cooperative,non-coop,29,11.208239115883716,0.0032954133943648664
non-cooperative,non-coop,30,11.214091269923971,0.003301927910221355
non-cooperative,non-coop,31,11.220093241158857,0.0033089659800509402
non-cooperative,non-coop,32,11.226245717268407,0.0033165299366059078
non-cooperative,non-coop,33,11.23254935614388,0.0033246223683577126
non-cooperative,non-coop,34,11.23900477746809,0.003333246003505696
non-cooperative,non-coop,35,11.245612568397911,0.00334240379034248
non-cooperative,non-coop,36,11.252373277211595,0.0033520988009325225
non-cooperative,non-coop,37,11.259287414796631,0.003362334266321316
non-cooperative,non-coop,38,11.266355451603522,0.0033731135386786686
non-cooperative,non-coop,39,11.273577816716184,0.003384440054965322
non-cooperative,non-coop,40,11.28095489631538,0.003396317411241554
localized-rho1,rho=1,1,16.527097104365335,0.7372375592278697
localized-rho1,rho=1,2,17.100420985580094,0.21247092513593482
localized-rho1,rho=1,3,17.342741493158382,0.1669841355140942
localized-rho1,rho=1,4,17.890550481657506,0.15606298788942086
localized-rho1,rho=1,5,17.89433260959903,0.13312826066101735
localized-rho1,rho=1,6,17.644516894482564,0.08875164770701338
localized-rho1,rho=1,7,17.50105301008873,0.04374977753384032
localized-rho1,rho=1,8,17.44372467314334,0.02479082038476654
localized-rho1,rho=1,9,17.43110777420296,0.01920948730643269
localized-rho1,rho=1,10,17.434367631481013,0.016815391668011194
localized-rho1,rho=1,11,17.443373219722286,0.01551918187540295
localized-rho1,rho=1,12,17.454791777906333,0.01454755284745713
localized-rho1,rho=1,13,17.467158021867494,0.013619635171587879
localized-rho1,rho=1,14,17.479665451391693,0.012658390285819655
localized-rho1,rho=1,15,17.491877890133946,0.01165678972258579
localized-rho1,rho=1,16,17.503606873191004,0.010630305195311546
localized-rho1,rho=1,17,17.51481742259224,0.009602138110588892
localized-rho1,rho=1,18,17.525557496905655,0.008596799375641345
localized-rho1,rho=1,19,17.535911028720623,0.007636111032959204
localized-rho1,rho=1,20,17.545969740266365,0.006736979586101479
localized-rho1,rho=1,21,17.555817996352843,0.0059107228228288565
localized-rho1,rho=1,22,17.56552603842247,0.005163467370866044
localized-rho1,rho=1,23,17.575148262538796,0.004497091291746941
localized-rho1,rho=1,24,17.58472427086661,0.003910315330283549
localized-rho1,rho=1,25,17.594281215015453,0.003399707816526249
localized-rho1,rho=1,26,17.603836518136013,0.0029604950883226856
localized-rho1,rho=1,27,17.61340046095685,0.002587149686542291
localized-rho1,rho=1,28,17.62297838362405,0.0022737728567841548
localized-rho1,rho=1,29,17.63257242259914,0.0020143110729165877
localized-rho1,rho=1,30,17.642182797760753,0.0018026599714584394
localized-rho1,rho=1,31,17.651808712186433,0.0016327172888170322
localized-rho1,rho=1,32,17.661448943674042,0.0014984445211046996
localized-rho1,rho=1,33,17.671102205875748,0.0013939771575230261
localized-rho1,rho=1,34,17.680767346808214,0.0013137861894247226
localized-rho1,rho=1,35,17.690443439096622,0.0012528559825423472
localized-rho1,rho=1,36,17.700129802873676,0.0012068279981451173
localized-rho1,rho=1,37,17.709825990447023,0.0011720736562041637
localized-rho1,rho=1,38,17.719531752317483,0.00114568895289344
localized-rho1,rho=1,39,17.729246996904887,0.0011254281042725287
localized-rho1,rho=1,40,17.738971751170318,0.0011096034065194735
localized-rho2,rho=2,1,19.599681343730985,0.569979145523172
localized-rho2,rho=2,2,22.396541855986193,0.26470845007974425
localized-rho2,rho=2,3,24.5585147867321,0.22061693420148937
localized-rho2,rho=2,4,26.032078640845455,0.17017253243237704
localized-rho2,rho=2,5,26.65829038761918,0.11404037422408533
localized-rho2,rho=2,6,26.866424421331885,0.05996193458978013
localized-rho2,rho=2,7,26.955868224700556,0.032388778565243186
localized-rho2,rho=2,8,27.015415784664565,0.021841892944643098
localized-rho2,rho=2,9,27.06680142303313,0.01782981895951953
localized-rho2,rho=2,10,27.114068813181298,0.016053600807355434
localized-rho2,rho=2,11,27.158204431799852,0.015154952239841672
localized-rho2,rho=2,12,27.199797692814272,0.014667984618914895
localized-rho2,rho=2,13,27.239274407415508,0.014387705191608017
localized-rho2,rho=2,14,27.276896907820515,0.014213287299349337
localized-rho2,rho=2,15,27.297039886709378,0.011826613682838836
localized-rho2,rho=2,16,27.302728562535613,0.010484408814345314
localized-rho2,rho=2,17,27.30676233007709,0.009680242127495232
localized-rho2,rho=2,18,27.308998575689685,0.009181740848744976
localized-rho2,rho=2,19,27.309551418288123,0.008904322402680066
localized-rho2,rho=2,20,27.308605963437042,0.008828476433413479
localized-rho2,rho=2,21,27.30617607321386,0.00892447181047992
localized-rho2,rho=2,22,27.300409545839,0.009093891403240932
localized-rho2,rho=2,23,27.29300672408204,0.009562792136308973
localized-rho2,rho=2,24,27.28402196398608,0.010194591082167458
localized-rho2,rho=2,25,27.273433053442062,0.010977375285316334
localized-rho2,rho=2,26,27.26116234121212,0.01190341212998946
localized-rho2,rho=2,27,27.247094649184717,0.012971283596237702
localized-rho2,rho=2,28,27.231100793364053,0.014183420111024867
localized-rho2,rho=2,29,27.213073756788592,0.015542377695877789
localized-rho2,rho=2,30,27.192985732965255,0.01704642978806855
localized-rho2,rho=2,31,27.170972119886358,0.018683827297629116
localized-rho2,rho=2,32,27.14743484663515,0.020424154477762007
localized-rho2,rho=2,33,27.118453817722052,0.021866897854668364
