rho,mean_weighted_sum_rate,std_weighted_sum_rate,mean_gap_to_global,std_gap_to_global,mean_runtime_sec,std_runtime_sec,mean_iterations,std_iterations,num_bs
1.0,76.69694339883898,1.278925730276553,18.704966383943265,1.3012884460040437,0.24989059024179974,0.0021571846478746037,40.0,0.0,37
2.0,89.66260447438981,2.2376292806143736,5.739305308392436,1.0890415760942995,0.3542930204421282,0.02912104348084759,40.0,0.0,37
3.0,93.37874080730477,2.38473135142104,2.0231689754774913,0.5988180685692805,0.4450765344469498,0.0017411375139837382,40.0,0.0,37
4.0,94.72857648061894,2.1234901450187906,0.6733333021633049,0.1884006094051625,0.5385920003366967,0.007294073265737376,40.0,0.0,37
5.0,95.15789442565182,2.0914396194889036,0.24401535713043643,0.17961648349826687,0.6025628053272764,0.006489740943658604,40.0,0.0,37
